Call ID,Correct Info/Solution Given,Questioning Techniques,Service Experience,Active listening/Clear Communication,System Referring,Providing Self Help Compliance Critical Accuracy,Verifications,General Respect,End Greeting,Acknowledgement/Empathy,Transcription,Cleaned Transcription
100,0,3,0,0,0,0,0,0,1,0," Hi, my TV connection is not working. Have you checked your cables? Yes, I have. Did you try resetting the cable box? Yes, I did. Then I don't know what the issue is. You should call a technician. Can you provide more details or help me troubleshoot further? No. Just call a technician. All right, thanks. Bye. Goodbye.",hi tv connection working checked cables yes try resetting cable box yes dont know issue call technician provide details help troubleshoot call technician right thanks bye goodbye
101,0,3,0,0,0,0,0,0,1,0," Hi, my TV connection is not working. Have you checked your cables? Yes, I have. Did you try resetting the cable box? Yes, I did. Then I don't know what the issue is. You should call a technician. Can you provide more details or help me troubleshoot further? No, just call a technician. Alright, thanks. Bye. Goodbye.",hi tv connection working checked cables yes try resetting cable box yes dont know issue call technician provide details help troubleshoot call technician alright thanks bye goodbye
102,5,3,3,3,3,3,3,1,1,1," Hi, my satellite TV signal is very weak. I'm sorry to hear that. Can you please verify your identity first? May I have your name and your driving license or passport number? My name is Jessica White and my driving license number is LMN123456. Thank you, Jessica. Have you checked the dish alignment? Yes, I have checked the dish alignment. Is there any bad weather that could be affecting the signal? No, the weather is clear. Let's try resetting the receiver. Plug it from the power source, wait 10 seconds, and plug it back in. Okay, I'll try resetting the receiver. Great. I'm glad to hear it's better. It seems to be better now. You're welcome. Thank you for your help. Goodbye. Goodbye.",hi satellite tv signal weak im sorry hear please verify identity first may name driving license passport number name jessica white driving license number lmn123456 thank jessica checked dish alignment yes checked dish alignment bad weather could affecting signal weather clear lets try resetting receiver plug power source wait 10 seconds plug back okay ill try resetting receiver great im glad hear better seems better youre welcome thank help goodbye goodbye
103,5,3,3,3,3,3,3,1,1,1," Hi, I need help updating the software on my satellite TV box. Sure. I can help with that. Can you please verify your identity first? May I have your name and your driving license or passport number? My name is Oliver Smith and my passport number is JKL123987. Thank you. Oliver, can you tell me what type of satellite TV box you have? It's a direct TV box. Great. Do you have the remote with you? Yes, I have the remote. Please use the remote to access the settings menu. Okay, I've accessed the settings menu. Now, look for the software update, option and select it. I see the software update option. Follow the instructions to update the software and wait for it to complete. Thank you for your help. You're welcome. Have a nice day. Good bye. Good bye.",hi need help updating software satellite tv box sure help please verify identity first may name driving license passport number name oliver smith passport number jkl123987 thank oliver tell type satellite tv box direct tv box great remote yes remote please use remote access settings menu okay ive accessed settings menu look software update option select see software update option follow instructions update software wait complete thank help youre welcome nice day good bye good bye
104,5,3,3,3,3,3,3,1,1,1," Hi, I need help with my billing statement. I'm sorry, I can only assist with technical issues. Let me transfer you to our customer service hotline. Okay, thank you. Please hold while I transfer your call. Goodbye. Goodbye.",hi need help billing statement im sorry assist technical issues let transfer customer service hotline okay thank please hold transfer call goodbye goodbye
105,5,3,3,3,3,3,3,1,1,1," Hi, I need help changing the password on my router. Sure, I can help with that. Can you please verify your identity first? May I have your name and your driving license or passport number? My name is John Doe and my driving license number is ABC123456. Thank you, John. Can you tell me what type of router you have? It's a Lynxus router. Great, do you have the Lynxus app installed on your phone? Yes, I have the app installed. Perfect. Open the app and log in. Okay, I've opened the app. Now, go to the settings menu and look for the, change password, option. Alright, I see the option to change the password. Enter your new password and save the changes. Thank you for your help. You're welcome. Have a nice day. Goodbye. Goodbye.",hi need help changing password router sure help please verify identity first may name driving license passport number name john doe driving license number abc123456 thank john tell type router lynxus router great lynxus app installed phone yes app installed perfect open app log okay ive opened app go settings menu look change password option alright see option change password enter new password save changes thank help youre welcome nice day goodbye goodbye
106,5,3,3,3,3,3,3,1,1,1," Hi, I need help with my billing statement. I'm sorry, I can only assist with technical issues. Let me transfer you to our customer service hotline. Okay, thank you. Please hold while I transfer your call. Goodbye. Goodbye.",hi need help billing statement im sorry assist technical issues let transfer customer service hotline okay thank please hold transfer call goodbye goodbye
107,5,3,3,3,3,3,0,1,1,1, Hi. Can you give me my data usage details? Sure. Let me check that for you. Thank you. You have used 75 gigabytes out of your 100 gigabytes monthly allowance. Goodbye. You're welcome. Have a great day.,hi give data usage details sure let check thank used 75 gigabytes 100 gigabytes monthly allowance goodbye youre welcome great day
108,5,3,3,3,3,3,3,1,1,1," Hi, I need help resetting my router to factory settings. Sure, I can help with that. Can you please verify your identity first? May I have your name and your driving license or passport number? My name is Andrew Brown and my driving license number is GHI 987654. Thank you, Andrew. Can you tell me what type of router you have? It's AD Link router. Great, do you have access to the router settings page? Yes, I can access the router settings page. Please log in and go to the settings menu. OK, I've logged in. Now, look for the factory reset option and click on it. I see the factory reset option. Confirm the reset and wait for the router to reboot. Thank you for your help. You're welcome. Have a nice day. Goodbye. Goodbye.",hi need help resetting router factory settings sure help please verify identity first may name driving license passport number name andrew brown driving license number ghi 987654 thank andrew tell type router ad link router great access router settings page yes access router settings page please log go settings menu ok ive logged look factory reset option click see factory reset option confirm reset wait router reboot thank help youre welcome nice day goodbye goodbye
109,5,3,3,3,3,3,3,1,1,1," Hi, I need help resetting my router to factory settings. Sure, I can help with that. Can you please verify your identity first? May I have your name and your driving license or passport number? My name is Andrew Brown and my driving license number is GHI 987654. Thank you, Andrew. Can you tell me what type of router you have? It's AD link router. Great, do you have access to the router settings page? Yes, I can access the router settings page. Please log in and go to the settings menu. OK, I've logged in. Now, look for the factory reset option and click on it. I see the factory reset option. Confirm the reset and wait for the router to reboot. Thank you for your help. You're welcome. Have a nice day. Goodbye. Goodbye.",hi need help resetting router factory settings sure help please verify identity first may name driving license passport number name andrew brown driving license number ghi 987654 thank andrew tell type router ad link router great access router settings page yes access router settings page please log go settings menu ok ive logged look factory reset option click see factory reset option confirm reset wait router reboot thank help youre welcome nice day goodbye goodbye
